Main ID,Incident ID,Incident Type,Region of Incident,Website Date,Incident year,Reported Month,Number of Dead,Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Cause,Country of Origin,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping,Article title,Source Quality,URL,Latitude,Longitude
2014.MMP00001,2014.MMP00001,Incident,North America,06/01/2014,2014,January,1,,1,,,1,,Central America,Mixed/ Unknown,Guatemala,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.650259, -110.366453",Northern America,,5,http://humaneborders.info/,31.650259,-110.366453
2014.MMP00002,2014.MMP00002,Incident,North America,12/01/2014,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.59713, -111.73756",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,,31.59713,-111.73756
2014.MMP00003,2014.MMP00003,Incident,North America,14/01/2014,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.94026, -113.01125",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,,31.94026,-113.01125
2014.MMP00004,2014.MMP00004,Incident,North America,16/01/2014,2014,January,1,,1,,,1,,Central America,Violence,Mexico,US-Mexico border crossing,"near Douglas, Arizona, USA","Ministry of Foreign Affairs Mexico, Pima County Office of the Medical Examiner (PCOME)","31.506777, -109.315632",Northern America,Mexico condemns the use of force by a border patrol agent in the death of a Mexican citizen ,5,http://bit.ly/1qfIw00,31.506777,-109.315632
2014.MMP00006,2014.MMP00006,Incident,North America,17/01/2014,2014,January,1,,1,,,,,Latin America / Caribbean (P),Violence,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.45435, -113.18402",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,,32.45435,-113.18402
2014.MMP00008,2014.MMP00008,Incident,North America,22/01/2014,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.478317, -113.182833",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,,32.478317,-113.182833
2014.MMP00009,2014.MMP00009,Incident,North America,24/01/2014,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.81154, -111.01101",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,,31.81154,-111.01101
2014.MMP00010,2014.MMP00010,Incident,North America,24/01/2014,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.174017, -112.174583",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,,32.174017,-112.174583
2014.MMP00011,2014.MMP00011,Incident,North America,25/01/2014,2014,January,1,,1,,,1,,Central America,Mixed/ Unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.40291, -113.02935",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2014,5,,32.40291,-113.02935
2014.MMP00012,2014.MMP00012,Incident,North America,28/01/2014,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.159, -112.919",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2015,5,,32.159,-112.919
